酷9央視,#genre#

CCTV-1综合,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv1
CCTV-2财经,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv2
CCTV-3综艺,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv3
CCTV-4中文国际（亚）,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv4
CCTV-4中文国际（欧）,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctveurope
CCTV-4中文国际（美）,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvamerica
CCTV-6电影,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv6
CCTV-7国防军事,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv7
CCTV-8电视剧,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv8
CCTV-9纪录,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600004078
CCTV-10科教,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv10
CCTV-11戏曲,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv11
CCTV-12社会与法,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv12
CCTV-13 新闻,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv13
CCTV-14少儿,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctvchild
CCTV-15音乐,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv15
CCTV-17农业农村,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv17
CCTV风云剧场频道,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600099658
CCTV第一剧场频道,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600099655
CCTV怀旧剧场频道,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600099620

XCCTV-5体育,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5
XCCTV-5+体育赛事,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv5plus
XCCTV-16奥林匹克,http://A/ku9/js/webview.js?id=https://tv.cctv.com/live/cctv16



酷9衛視,#genre#

北京卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002309
江苏卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002521
东方卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002483
浙江卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002520
湖南卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002475
湖北卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002508
广东卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002485
广西卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002509
黑龙江卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002498
海南卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002506
重庆卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002531
深圳卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002481
四川卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002516
河南卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002525
东南卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002484
贵州卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002490
江西卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002503
辽宁卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002505
安徽卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002532
河北卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002493
山东卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600002513
天津卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600152137
吉林卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190405
陕西卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190400
宁夏卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190737
内蒙古卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190401
云南卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190402
山西卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190407
青海卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190406
西藏卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600190403
新疆卫视,http://A/ku9/js/webview.js?id=https://www.yangshipin.cn/tv/home?pid=600152138


